text,year,month,day
"Well good morning all, What a wonderful day in the neighborhood  Thanks for all those that are now following another 60 this morning",2023,1,17
FTSK and Mercy Mercedes were amazing tonight.. as always,2023,1,24
  hope he is ok!,2023,3,3
can`t school just be done already? it hurts too much... seeing him every day,2013,4,5
"I waited, listening to wind blowing through the tumbleweed? Are none of you old enough to know what to do when someone says 'Crackerack'?",2020,2,22
 Hell Yeah!,2019,6,10
 HIM shirt at dinner? Do you need to ask??  Does it actually have Ville on it?,2020,6,22
 i know!!,2018,12,10
 huh what the ****? Smelly? Noooo. I love alex Vixon,2023,5,30
"Went to a party last night. Dindin and I showed up in matching outfits ) GREAT MINDS THINK ALIKE ) Anyway, happy birthday, ate lara",2023,6,7
" Happy b-day! Just woke up on this side of Earth, so wishes are bit late",2023,8,4
"thank you for teaching me values and to be a better person each day  I LOVE SO MUCH, YOU`RE THE BEST MUM IN THE WORLD",2023,9,17
HAPPY MOTHERS DAY.!,2020,1,5
" *laughs* I`m glad that you have self confidence - it`s a wonderful trait to have  I`ll applaud extra loud for it, okay?",2020,1,5
  Thanks,2020,1,5
twittering after 2 days!,2023,10,2
Getting ready for week  Its too nice today to be stuck inside working!,2015,11,10
I am tres depressed,2023,9,29
"Felt like ****, behaved like my son; ate to compensate. Pigged out on home-roasted sugar almonds. Painful tum, threw up, still feel sick.",2023,10,8
Happy Mothers Day people. i love my mom a lot still,2023,10,17
 I`m sorry to hear that.,2020,11,15
" That`s awesome dude, yay for surprise celebrities!  I got to meet him a few years ago, he was soooo friendly.",2023,1,20
" it makes me happy to hear a girl talk, or tweet, about the nba. but... could you give my nuggets some love?!",2023,1,26
Is getting the hang of Twitter.,2023,1,28
You know your neck is jacked up when you are forced to pay for parking bc you can`t turn you head to parallel park in the free spaces...,2023,2,16
I want it BACK NOW!,2023,2,23
Going to miss my roomie ... We will no longer be roomies starting tomorrow,2023,2,25
"bathing with two little angels, Keyla and Janice.",2014,7,20
" Yep, finished, chocked full of spelling and grammatical errors, but I`m cleaning it up tomorrow and popping it up  hehe",2021,3,2
 HAHAHHA lol true that! i always remember my BD but i can never remember what date or even day it is,2020,2,28
"Family is here,hanging with them",2020,5,12
Watching Ellen Love her!! then doing the dishes  and tanning ...it`s gorgeous out!,2019,11,18
 what`s goin on hun?  I`m worried about you,2019,11,18
 Im not bannished... but I am at work till 6,2021,5,20
" Morning! If I get to see it, I`ll let you know. Right now, I`m going to go see Wolverine.",2019,8,20
" red top tabloids, build em up, knock em down",2015,12,1
tonight in party w/ my girls (minus vita),2016,12,22
  why not now you made me sad I thought you`d be jumping for joy,2020,6,15
 Simple my,2022,1,15
"The pics I just uploaded are the baby pics of my cats. Missy is now an adult and a pretty little kitty, but Batty is in kitten heaven now",2023,6,4
" I saw the play of it here, it was amazing",2023,6,14
i am glad to break my twitter virginity with you two.,2023,6,22
Dinner with the fam... I have missed them,2023,6,29
"Live That`s what I want. More the better. Bound to be a few bad eggs though, but they will soon learn.",2023,7,6
Hell yeah Kellynn got a Twitter. Finally.,2023,7,12
" I know   It was worth a shot, though!",2023,7,18
"Just opened a facebook account, I`m a little confused I don`t really get it. Twitter seems much better",2023,8,12
Ship. I`m stuck.,2023,8,18
DUSTBIN BABY ON AT 11.30 Cannot wait  x,2023,9,23
" Not going to dwell on it. It happened, it`s passed. Just a shame as he was so supportive! Such is life!  x",2018,6,22
whats the day going on,2023,10,20
It looks like the office TV DOES get MLB Network,2023,1,18
Home empty handed.  No comics found today.  I shall now indulge in my cupcakes from Magnolia Bakery.,2022,4,3
Laying in bed til workkk... Oh the life. Definitely pinched a nerve.,2016,7,10
today is a busy day. exhausting!,2017,3,28
" I was going to go on Sunday, but now I`ve got too much going on that weekend",2023,8,6
 Sorry to hear ur flight got cancelled  that blows!!!,2023,8,23
ohh my tooth is hurts ohh  im sad it very hurts,2023,1,17
"Before I get too distracted, I`d like to thank my new followers for taking the trouble to follow me! And to my others: feelin the love",2023,1,21
 u think u have bills Ha!Ii just finished paying mine that`s y I`m broke,2023,1,25
 Not sure it didn`t say it was 2 big. I jst saw the pics of u on ur last bday. You looked so pretty!! I miss you!!,2023,1,28
sore throat. Planning the TET outing to Marwell though...good times,2023,2,13
mcfly gig last nightt omg it was amazin didnt sit down through the whole thing  mcfly did you see me and ma best mate we were in tutus,2023,3,2
2 days without sleep and now a migraine. I thought life postR01 was meant to be relaxing,2013,4,20
 There!,2022,9,28
?sucks!?..,2021,5,10
 whens the sway sway winner announced?,2023,7,1
 K will check it out...,2023,7,16
" doing pretty well, up and wide awake",2023,8,16
"i want to wake up early, and get a coffee tomorrow (today) !  it`s going to be a busyy day! but have to keep writing.. booo whoo!",2018,9,22
I Miss Daddy and Mommy,2021,8,20
"My dog is officially depressed that my brother`s dogs are gone. He doesn`t want to go outside and when we did, he play half-heartedly.",2022,9,15
I just realized that I can`t forward text msgs with my iPhone.,2018,10,12
"My frist post... Off to find a new car for my parents, exciting!",2018,6,15
Argh noo! Missed The Killers on Wossy!  That sucks! Missed out on Brandon. Total failure! Anyone know if it`s repeated? Must investigate!,2018,9,5
seriously bored without anyone to talk to... but not tired enough for sleep,2019,3,8
 I am lost. Please help me find a good home.,2017,6,12
"It`s a Peter & Gordon morning  -> And I, go to pieces and I wanna hide / Go to pieces and I almost die / Ever... ? http://blip.fm/~5yk38",2021,4,15
Ok so I`ve now got a bit of a bad back after lifting all drum hardware into my car   downer.,2022,11,15
 LMAO... Smh!  that one threw me off.,2022,7,20
 oh nice going!,2019,7,28
Is getting ready for work... Working all weekend,2023,3,20
Gonna celebrate Mothers Day with the family but gonna start the partying tonite,2021,4,15
 i agree with you!,2023,1,22
 I only do computers. Am hopeless at everything else,2020,8,8
"90 degrees, gross skies, and thunderstorms...perfect match for my mood  lol",2018,7,10
_2nd aww thanks!,2019,9,28
 Sorry RB is on PS3 for me,2023,6,11
I saw amazing heeels. But they were too big,2023,6,17
I just stuck my finger down my throat and there are a bunch of bumps on my tongue & throat.,2023,6,25
dang last url went down  ? http://blip.fm/~7aigm,2023,7,4
" ohoh i missed all ur tweets  im gonna have to stay awake all night to see the announcement now, **** time difference",2019,2,11
 Damnit all. That sucks.  You were one of the ones I thought I`d drag back lol,2018,6,3
 my boss. She`s moving to NYC,2021,8,10
this is sooo crazy i have fever..,2023,3,10
is spending her Saturday morning taking notes for a research essay because some stupid **** recalled the book I`m using. Not fair,2023,2,22
I think i need some new friends,2020,8,20
 Looking forward to your gig in Ireland!!!  See ya there!,2017,1,12
I' watching a movie name Adimurie,2020,9,18
aww  you loooove me,2020,4,5
"is hungry, twitter.  i want food.",2020,8,12
awesome lucky you,2020,3,1
" yea, i should know.. but tell me EVERYTHING!  ps: send me direct messages telling..   haha",2017,6,18
" haha im jewish, i love that one",2022,4,18
"had a great time out in the beer garden wit the boyos !! I think the sun got to me a bit though, feel a bit ill !!",2020,12,17
 l`m on 3 days too matt. No fun this weekend.,2022,7,17
 u really don`t think so?  maybe ur right....lol. btw what phone u using? think u told me b4...i might have an app for u,2020,11,1
 I feel your pain. Mine is the same way,2023,1,19
comes home in two days,2023,1,25
 Sadly no. It didn`t come with one...,2023,1,27
Cant wait to see my boy tomorrow,2023,2,18
 ehhh no. just a check up. I have a dentist app next week though. getting my molar pulled/root canal.,2023,2,19
 aww I miss driving down elmwood,2023,2,27
Omg Wango Tango was **** AWSOME! I love my baby for taking me,2023,2,28
"Version 2 of our live, interactive Trans-Siberian ticket planner is launched",2012,3,10
_30439 I really wish I could go!,2021,12,3
" yeah real hard, but I know you`ll get by with it... smile",2021,10,22
 I`m 25 in december that`s not good at all next big birthday is 30  after 21 it flys by for sure,2022,1,15
  This has made my night!!  Way too funny!!,2023,5,6
Woo CAVS.  Happy Mother`s Day!,2023,5,6
 I make that same face when I get home and your mom is watching soaps.,2020,2,10
I have to go to work now.,2023,3,30
 I can`t believe you went and got boba without me.,2023,2,16
"  And to you too, how are you today?",2023,2,25
 Thanks for the warm welcome! We didn`t make plans   because our arrival time was so up in the air.,2021,12,8
19 days and counting,2021,12,8
 sorry  friends - I`m swamped with deadlines right now and we have family visiting to boot! No charades for me.,2022,5,12
BRAINFREEZE,2023,1,7
Just discovered a shortcoming of Gravity. When you use Twitpic (integrated) it doesn`t subtract the pic URL from the 140 character limit,2017,8,28
"My sunburn is peeling,",2018,3,10
perky purple nail polish isn`t as perky when its chipped,2021,8,15
"http://twitpic.com/4sx96 - before they put a CAMERA in the smokers pit.  i can no longer vandalize that door, without being caught.",2020,11,18
Laying ALONE!! Since Mook`s soo comfy in his f`n play pen. I thought it was ill at first now I don`t have no one to cuddle with...,2023,1,21
I hate the dentist,2023,1,29
" nothing aimed at you, just joining in...sorry",2019,3,28
I`m taking a twitter break. Cell is dying,2019,6,28
 qood morninq,2019,11,28
writing my english original writing storyyyyy. and listening to `a little respect` by erasure  aaaaaah.,2022,4,15
needs more followers,2022,12,1
I wish I could get my nails done  stupid job,2017,4,15
The little wormy from labyrinth sadly passed away today but its ok as hes still around in a happy ghost form aww  http://twitpic.com/67aim,2017,12,22
 the 'no pants' idea could be the new attempt world-wide to attract business back to the airlines.,2018,9,22
 Have a good one,2023,4,10
" yep infact she is popular, miss india 99, talented film actress .... and lot more",2023,1,16
Dosen`t Want To Go To Work Tomorrow,2023,1,23
Daniel has won DSDS. His voice is great.,2023,2,12
I need blood O negative,2023,2,21
was hoping to go to Red Lobster this weekend,2023,3,2
_x_ATL u mean jack barakat`s?! wow so have u ever gone to his house? Hehe i mean ur ssoo lucky to have the address!,2011,6,20
I sure do hope it becomes 4:20 this afternoon ...,2015,9,12
 it means that you are now FAMOUS. Congrats!,2014,7,10
My phone passed away yesterday.. He jumped off the table  Searching for a new phone...,2016,12,5
"I have such fantastic friends, including several ones met through here! thanks for being in my life - you are such amazing people!",2023,1,30
tamlyn wishes she was as cool as my sock draw,2021,1,15
 so no rice or crusty bread with the chili .... aawww,2010,11,12
"  We are of like minds this evening , my dear!",2018,8,7
come and save me from my packing please?!,2017,7,18
"Yes, I love tea. If that makes me typically English then so be it",2023,1,28
 a mouth for sure,2019,6,25
_dec0de I finally just have 1 hour of history... at 3.00 pm! but I went to my highschool at 8.00 am to make some homework with a friend,2020,9,15
 pancakes!! with lemon and sugar thanks!,2022,7,25
" Si, no bueno  I guess I just don`t entertain him ",2015,9,1
I`m so hunrgy right now and these heels kill me I can hardly walk in them,2015,9,1
both electronic keys stopped working. there is no keyhole! cant get in my car. so much for technology,2019,5,15
" Yay, three followers! Good to know more than one person in this big wide world likes fishies.",2019,4,18
'my name is Tony!!!!!! ...not hey!!!!' -  poor tony,2019,11,10
Goodmorning,2016,12,12
Took a shift tomorrow.    I don`t really feel like working right now.,2018,3,15
" I love mine, too . happy motherÃ¯Â¿Â½s day to your mom , John Taylor  . much love to you, too .",2015,6,28
Saw a black snake in the garden.  Went back for a picture and it was gone,2015,12,18
http://twitpic.com/4wukt - We bought Ludi her own rug. Dogs are the best,2015,11,10
No waterfront anymore   faccia luna and clarendon will have to do,2015,9,28
loves her mum very much! Happy Mothers Day to all the wonderful mothers out there,2023,2,15
Slipped up and caught the flu  feeling like poop!,2017,8,22
"i have an urge to play wow but i have to wait 2 weeks til im at my dads! 5+47DAYS TIL MCFLY, im so excited  (L)",2020,3,15
Ok ... the passengers ... no one is alive ... they`re all dead ... you just don`t know it til the end ... then you cry ...,2023,3,10
Discovered  and  are sharing on G reader with me and didn`t even know it. Sigh.... I`m such a G reader newb.,2020,12,15
"is chilled out tonite, so cannot spew venom or write funny. Seems like these are the only 2 styles she has",2020,12,15
" If u do, please pray 4 me.  Lord knows I need it.",2017,11,15
aaaaaw i want to live in the USA,2023,2,28
Morning tweeple,2020,4,15
" Hey, I didn`t get any !!!",2021,4,5
 Now you only have 2 hours to sleep...  - Rest if you need it.,2022,7,10
"  That makes my day so much better, it`s been a rough one. Did I mention I love the new photo!",2020,4,2
I don`t want to sit at home on prom night. Someone hang out with me,2020,7,18
Is heading home from foot surgery and wishing she had a boyfriend to come over and cuddle with,2015,7,12
concert tonight  chackin out and not coming tomorrow!,2021,10,8
 what happened? I thought you were coming back today....,2021,9,20
 lol dammit  well then next time then,2021,9,20
 lol. just don`t ever forget me,2019,11,8
 Still jealous,2019,10,8
Me at Forever 21  Ethan couldn`t be there,2018,12,15
NOW IM SAD BUT IM NOT GIVING IN FIRST..I DIDNT DO NOTHING!!!!    :**-(,2016,6,15
this week of mine was not easy!  but finally it`s over! (:,2022,1,28
   Wow what a beautiful picture... and by the way....I am straight....just wanted to let you know!!!     Bella,2022,1,8
In Arch. Drawing. Checking out MVCC`s CAD degree. Looks good to me,2015,8,22
" 'there are people and then there are pencils' some are sharp, some are not and some can be sharpened  my pencil philosophy.....",2019,4,18
"just about to go home. I`m usually `mr. positive` but this has been one of those daze. well, 15 mins until tomorrow!",2020,9,10
 but you always have lee. Let`s go to Paris,2017,11,5
 you know you want to come keep me company whilst mum`s at her friends for the night  it`s such a nice evening!,2021,7,20
cooking with my dad  having lots of fun in the kitchen together,2022,8,10
Bouncing Rush makes me feel nauseous,2022,8,10
Off to Woolsery this morning to (hopefully) see North Molton U16 clinch the North Devon League title. Lovely day for it,2022,3,20
playing singstar without my fave duetter,2019,5,5
"  you`re missing out, bb! i`m such a cereal nut, i think i like every kind available.",2021,3,15
" That`s just weird... :\  Oh, and what was it you were drawing for me?",2021,8,2
Just woke up :o mums singing to her new gn`r cd replacement i bought because im a good daughter,2021,6,10
"The birds are out,, oh man... That`s NOT cool && I didn`t sleep yet for the night!!!",2018,7,15
"250 miles down, only 1750 to go. Thats ok, u2 on the radio alwas helps.",2019,11,2
"My Street Fighter IV skills are lacking, can`t beat Seth on easy.",2018,12,5
 FIL 461 with cool people like me,2023,1,15
Good Morning!!! Work and then it`s ESPN`s Sunday night Baseball. hopefully it won`t get rained out,2023,1,18
 i think it`s under a honeymoon by the good life -- either that or it`s under a honey moon by joseph arthur.,2016,11,28
my son got stung by a bug for the first time  his little finger is slightly swollen.,2021,10,2
 it was hours ago i came in.... and it`s only now i realised when i went to buy something online,2022,11,28
 oh just referring to our lil exchange on LJ with regards to twitter archive postings.,2022,7,5
Bumping dj opus in the drunk in the car.  lmao. Don`t act like u don`t know.,2016,9,28
Why kiss the feet of the people who kick you when you can be anything that you want to?  morning everyone! Hope you have the best day ever,2021,9,15
Here`s a brief preview:   OMG James is creepy in that role! I`m scared of him,2022,2,28
I`m missing crab legs and attending my going away instead!,2023,1,16
Hicks are mean!,2018,11,7
"gettn ready to take a trip to Jersey my dad`s not doing so good, he needs a new heart~whoeva see`s this please say a prayer for my dad",2017,3,20
"back soon, need to run to the shops and cut the grass",2023,3,22
I`m up. I have a plan to transform my bedroom today. Random.,2018,7,10
"Home until tomorrow. Did my running and spinning. Now time for chiropractor, laundry, shopping, and visiting family. Missing nathan",2021,11,30
 thats another sponsor,2021,11,30
" And most of us are going to be stuck in an office, some without windows",2023,1,22
 No it`s not sad. Should make you proud,2023,1,24
"   Sorry, we`ll try to keep it down.",2023,1,27
is home alone.. Doing hw,2023,3,3
"According to , a quarter of families under six live in poverty.",2015,10,18
the plan to not spend money is not going well,2021,2,25
uploading all my bamboozle pictures of facebook,2022,5,30
 congratulations ! you guys finish a month early than we do. booo,2018,8,10
" actually, I wish I was back in Tahoe.  I miss it there.",2019,3,25
